sentiment,tweet_id,date,text,year,month,day_of_week,hour
0,2014173482,2009-06-03 00:40:53,@MadamSalami im doing my food shopping on line too! my breakfast consists of the manky crust in the bread bag ,2009,6,2,0
1,1989943091,2009-06-01 03:21:07,@WindermereLodge Will give you an extra special wave tonight ,2009,6,0,3
1,1990226707,2009-06-01 04:15:55,@texanoutofwater ha  such a winning combination,2009,6,0,4
1,2191771698,2009-06-16 05:56:32,"@nettie_b I'm not moving anywhere! It only snows like, once or twice a year here. And I never have to leave when it does. ",2009,6,1,5
0,2264496674,2009-06-21 04:03:24,@ThelifeofCat huh? Like when!? My phone doesn't say anything :s I promise! It's kinda broken anyway ,2009,6,6,4
0,2178133395,2009-06-15 07:14:38,"@moominboy yeah, i've seen it but haven't had a chance to play it or anything. i'd really love a video game version though ",2009,6,0,7
0,2260992784,2009-06-20 20:05:41,@JanelleMonae I went to the show here in Houston. But you were missing. ,2009,6,5,20
1,2193179339,2009-06-16 08:06:14,@IamJoeBeastmode having fun in dallas? maybe ya'll can go to houston and say hi to my aunt ,2009,6,1,8
0,2178897813,2009-06-15 08:21:41,&quot;Always look on the bright side of life&quot; makes me think of two things: optimism is slightly overrated and how much I miss my Patsy. ,2009,6,0,8
1,1881209620,2009-05-22 03:57:57,Thank You &amp; a big Bless you to all the other Ford Fiesta Agents for your nice words &amp; Luv  @yogaarmy #fiestamovement,2009,5,4,3
1,2068198712,2009-06-07 13:40:09,i think my lipss qot biqqer ,2009,6,6,13
1,1981951889,2009-05-31 10:13:29,@Molecat84 it's up ,2009,5,6,10
0,2263310464,2009-06-21 00:28:45,Up alone now. brittany left  so bored now.,2009,6,6,0
0,2175603253,2009-06-15 01:27:32,@TerriNixon He is in the process of leaving now (he's on MSN at home) ,2009,6,0,1
0,1974541323,2009-05-30 13:20:36,I have a Baby Grand in my house that could earn cash as a horror-movie extra.  But does not function as a piano.  ,2009,5,5,13
1,1966962012,2009-05-29 18:43:09,@thefore i love your music  you guys are really good!,2009,5,4,18
0,1976362700,2009-05-30 17:09:46,@RuSouL - OH NO YOU DIDN'T! boo!  you just made me sad.,2009,5,5,17
0,2066785850,2009-06-07 11:10:06,Â£36 is the lowest Vmedia contract right now apparently... dangit. That may give tv+phone+inet but i'm not using ANY of them... ,2009,6,6,11
1,2039672252,2009-06-04 22:31:15,"@caffeinsparks &amp; mlq3: Hello, guys! I just want to say thank you for standing guard there. ",2009,6,3,22
1,1880600524,2009-05-22 01:49:25,@davech Happy Birthday to you ,2009,5,4,1
